[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ route_check ] --END-- [ RunTime:0.000868s ]
[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000494s ]
[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000555s ]
[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] Missing argument 1 for baseAction::__construct(), called in D:\xampp\htdocs\yiyuan\ThinkPHP\Common\common.php on line 277 and defined baseAction.class.php 第 8 行.
[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [8] A session had already been started - ignoring session_start() authAction.class.php 第 4 行.
[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] in_array() expects parameter 2 to be array, string given authAction.class.php 第 9 行.
[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] Missing argument 2 for removeDir(), called in D:\xampp\htdocs\yiyuan\Lib\Action\admin\filecacheAction.class.php on line 5 and defined common.php 第 627 行.
[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [8] Undefined variable: handle common.php 第 628 行.
[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] opendir(D:/xampp/htdocs/yiyuan/Runtime/Data,D:/xampp/htdocs/yiyuan/Runtime/Data) [<a href='function.opendir'>function.opendir</a>]: ϵͳ�Ҳ���ָ�����ļ��� (code: 2) common.php 第 629 行.
[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] opendir(D:/xampp/htdocs/yiyuan/Runtime/Data) [<a href='function.opendir'>function.opendir</a>]: failed to open dir: No such file or directory common.php 第 629 行.
[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] rmdir(D:/xampp/htdocs/yiyuan/Runtime/) [<a href='function.rmdir'>function.rmdir</a>]: Directory not empty common.php 第 634 行.
[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] readdir() expects parameter 1 to be resource, string given common.php 第 635 行.
[ 2012-05-17T15:48:23+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] unlink() [<a href='function.unlink'>function.unlink</a>]: Invalid argument common.php 第 640 行.
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ route_check ] --START--
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Run CheckRoute Behavior [ RunTime:0.001274s ]
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ route_check ] --END-- [ RunTime:0.001404s ]
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000857s ]
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000974s ]
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] Missing argument 1 for baseAction::__construct(), called in D:\xampp\htdocs\yiyuan\ThinkPHP\Common\common.php on line 277 and defined baseAction.class.php 第 8 行.
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [8] A session had already been started - ignoring session_start() authAction.class.php 第 4 行.
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] in_array() expects parameter 2 to be array, string given authAction.class.php 第 9 行.
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] Missing argument 2 for removeDir(), called in D:\xampp\htdocs\yiyuan\Lib\Action\admin\filecacheAction.class.php on line 5 and defined common.php 第 627 行.
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [8] Undefined variable: handle common.php 第 628 行.
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] opendir(D:/xampp/htdocs/yiyuan/Runtime/Data,D:/xampp/htdocs/yiyuan/Runtime/Data) [<a href='function.opendir'>function.opendir</a>]: ϵͳ�Ҳ���ָ�����ļ��� (code: 2) common.php 第 629 行.
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] opendir(D:/xampp/htdocs/yiyuan/Runtime/Data) [<a href='function.opendir'>function.opendir</a>]: failed to open dir: No such file or directory common.php 第 629 行.
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] rmdir(D:/xampp/htdocs/yiyuan/Runtime/) [<a href='function.rmdir'>function.rmdir</a>]: Directory not empty common.php 第 634 行.
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] readdir() expects parameter 1 to be resource, string given common.php 第 635 行.
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [2] unlink() [<a href='function.unlink'>function.unlink</a>]: Invalid argument common.php 第 640 行.
[ 2012-05-17T15:48:35+08:00 ] /yiyuan/index.php/admin/filecache | NOTIC: [8] Undefined variable: file成功 common.php 第 641 行.
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ route_check ] --START--
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Run CheckRoute Behavior [ RunTime:0.000835s ]
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000923s ]
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ app_begin ] --START--
